time_iso8601,forks_cumulative
2022-07-25 00:00:00+00:00,1
2022-07-26 00:00:00+00:00,2
2022-09-12 00:00:00+00:00,4
2022-11-12 00:00:00+00:00,5
2022-12-03 00:00:00+00:00,6
2022-12-11 00:00:00+00:00,7
2022-12-21 00:00:00+00:00,8
2023-01-11 00:00:00+00:00,9
2023-02-07 00:00:00+00:00,10
2023-03-19 00:00:00+00:00,11
2023-03-26 00:00:00+00:00,12
2023-05-06 00:00:00+00:00,13
2023-05-27 00:00:00+00:00,14
2023-07-13 00:00:00+00:00,15
2023-09-27 00:00:00+00:00,16
2023-10-05 00:00:00+00:00,17
2024-03-17 00:00:00+00:00,18
2024-07-29 00:00:00+00:00,19
