time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-28 00:00:00+00:00,,,7,3
2024-10-29 00:00:00+00:00,3.0,1.0,67,6
2024-10-30 00:00:00+00:00,,,7,3
2024-10-31 00:00:00+00:00,1.0,1.0,17,3
2024-11-01 00:00:00+00:00,1.0,1.0,3,2
2024-11-02 00:00:00+00:00,2.0,2.0,24,2
2024-11-03 00:00:00+00:00,2.0,1.0,45,2
2024-11-04 00:00:00+00:00,3.0,2.0,2,2
2024-11-05 00:00:00+00:00,,,67,4
2024-11-07 00:00:00+00:00,2.0,1.0,28,3
2024-11-08 00:00:00+00:00,2.0,1.0,19,3
2024-11-09 00:00:00+00:00,4.0,1.0,7,3
2024-11-10 00:00:00+00:00,,,21,5
