time_iso8601,stars_cumulative
2022-07-31 00:00:00+00:00,1
2022-08-04 00:00:00+00:00,2
2022-08-06 00:00:00+00:00,3
2022-08-07 00:00:00+00:00,4
2022-08-14 00:00:00+00:00,5
2022-08-29 00:00:00+00:00,6
2022-09-07 00:00:00+00:00,7
2022-09-12 00:00:00+00:00,8
2022-09-28 00:00:00+00:00,9
2022-11-01 00:00:00+00:00,10
2022-11-09 00:00:00+00:00,11
2022-11-17 00:00:00+00:00,12
2022-11-24 00:00:00+00:00,13
2022-12-13 00:00:00+00:00,14
2023-01-13 00:00:00+00:00,15
2023-01-17 00:00:00+00:00,16
2023-02-03 00:00:00+00:00,17
2023-02-04 00:00:00+00:00,18
2023-02-19 00:00:00+00:00,19
2023-02-22 00:00:00+00:00,20
2023-04-04 00:00:00+00:00,21
2023-04-17 00:00:00+00:00,22
2023-05-02 00:00:00+00:00,23
2023-05-20 00:00:00+00:00,24
2023-05-22 00:00:00+00:00,25
2023-07-20 00:00:00+00:00,26
2023-11-10 00:00:00+00:00,27
2023-11-11 00:00:00+00:00,28
2023-11-14 00:00:00+00:00,29
2023-12-07 00:00:00+00:00,30
2023-12-21 00:00:00+00:00,31
