time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-26 00:00:00+00:00,0,0,85,8
2022-07-27 00:00:00+00:00,0,0,45,9
2022-07-28 00:00:00+00:00,0,0,86,13
2022-07-29 00:00:00+00:00,5,2,152,17
2022-07-30 00:00:00+00:00,3,2,64,9
2022-07-31 00:00:00+00:00,0,0,50,10
2022-08-01 00:00:00+00:00,0,0,99,12
2022-08-02 00:00:00+00:00,3,3,153,8
2022-08-03 00:00:00+00:00,9,6,141,16
2022-08-04 00:00:00+00:00,2,2,60,9
2022-08-05 00:00:00+00:00,1,1,47,7
2022-08-06 00:00:00+00:00,1,1,32,3
2022-08-07 00:00:00+00:00,1,1,79,16
2022-08-08 00:00:00+00:00,0,0,108,10
2022-08-09 00:00:00+00:00,6,5,149,12
2022-08-10 00:00:00+00:00,1,1,95,11
2022-08-11 00:00:00+00:00,1,1,81,13
2022-08-12 00:00:00+00:00,3,3,59,15
2022-08-13 00:00:00+00:00,4,4,35,5
2022-08-14 00:00:00+00:00,2,2,19,8
2022-08-15 00:00:00+00:00,4,4,55,9
2022-08-16 00:00:00+00:00,3,3,25,6
2022-08-17 00:00:00+00:00,2,2,54,12
2022-08-18 00:00:00+00:00,1,1,12,4
2022-08-19 00:00:00+00:00,2,2,20,5
2022-08-20 00:00:00+00:00,2,2,26,4
2022-08-21 00:00:00+00:00,2,2,36,8
2022-08-22 00:00:00+00:00,2,2,15,5
2022-08-23 00:00:00+00:00,2,2,10,5
2022-08-24 00:00:00+00:00,2,2,38,5
2022-08-25 00:00:00+00:00,3,3,36,5
2022-08-26 00:00:00+00:00,3,3,21,4
2022-08-27 00:00:00+00:00,2,2,21,5
2022-08-28 00:00:00+00:00,1,1,87,6
2022-08-29 00:00:00+00:00,2,2,74,14
2022-08-30 00:00:00+00:00,2,2,58,10
2022-08-31 00:00:00+00:00,2,2,38,9
2022-09-01 00:00:00+00:00,2,2,31,5
2022-09-02 00:00:00+00:00,2,2,31,9
2022-09-03 00:00:00+00:00,2,2,3,1
2022-09-04 00:00:00+00:00,1,1,9,6
2022-09-05 00:00:00+00:00,2,2,31,3
2022-09-06 00:00:00+00:00,1,1,46,9
2022-09-07 00:00:00+00:00,1,1,132,7
2022-09-08 00:00:00+00:00,2,2,14,7
2022-09-09 00:00:00+00:00,1,1,21,4
2022-09-10 00:00:00+00:00,2,2,19,4
2022-09-11 00:00:00+00:00,4,4,55,5
2022-09-12 00:00:00+00:00,2,2,3,3
2022-09-13 00:00:00+00:00,1,1,15,4
2022-09-14 00:00:00+00:00,1,1,76,11
2022-09-15 00:00:00+00:00,3,3,19,5
2022-09-16 00:00:00+00:00,1,1,36,10
2022-09-17 00:00:00+00:00,1,1,53,9
2022-09-18 00:00:00+00:00,4,4,57,12
2022-09-19 00:00:00+00:00,3,3,71,11
2022-09-20 00:00:00+00:00,2,2,55,10
2022-09-21 00:00:00+00:00,3,3,29,8
2022-09-22 00:00:00+00:00,3,3,14,6
2022-09-23 00:00:00+00:00,4,4,33,8
2022-09-24 00:00:00+00:00,2,2,36,5
2022-09-25 00:00:00+00:00,1,1,17,3
2022-09-26 00:00:00+00:00,2,2,4,2
2022-09-27 00:00:00+00:00,1,1,23,5
2022-09-28 00:00:00+00:00,3,3,47,9
2022-09-29 00:00:00+00:00,1,1,46,7
2022-09-30 00:00:00+00:00,2,2,22,7
2022-10-01 00:00:00+00:00,4,3,29,6
2022-10-02 00:00:00+00:00,3,3,101,6
2022-10-03 00:00:00+00:00,1,1,33,7
2022-10-04 00:00:00+00:00,1,1,37,6
2022-10-05 00:00:00+00:00,1,1,15,4
2022-10-06 00:00:00+00:00,1,1,44,8
2022-10-07 00:00:00+00:00,2,2,5,3
2022-10-08 00:00:00+00:00,2,2,25,10
2022-10-09 00:00:00+00:00,1,1,23,6
2022-10-10 00:00:00+00:00,1,1,59,9
2022-10-11 00:00:00+00:00,2,2,65,13
2022-10-12 00:00:00+00:00,2,2,77,11
2022-10-13 00:00:00+00:00,1,1,39,13
2022-10-14 00:00:00+00:00,2,2,38,7
2022-10-15 00:00:00+00:00,4,4,31,8
2022-10-16 00:00:00+00:00,2,2,23,7
2022-10-17 00:00:00+00:00,2,2,22,4
2022-10-18 00:00:00+00:00,2,2,85,9
2022-10-19 00:00:00+00:00,1,1,26,6
2022-10-20 00:00:00+00:00,2,2,23,4
2022-10-21 00:00:00+00:00,1,1,12,2
2022-10-22 00:00:00+00:00,2,2,102,16
2022-10-23 00:00:00+00:00,3,3,56,7
2022-10-24 00:00:00+00:00,3,3,140,12
2022-10-25 00:00:00+00:00,4,4,74,9
2022-10-26 00:00:00+00:00,1,1,33,5
2022-10-27 00:00:00+00:00,3,3,51,10
2022-10-28 00:00:00+00:00,7,5,80,9
2022-10-29 00:00:00+00:00,3,2,154,18
2022-10-30 00:00:00+00:00,4,4,32,11
2022-10-31 00:00:00+00:00,1,1,61,11
2022-11-01 00:00:00+00:00,1,1,52,8
2022-11-02 00:00:00+00:00,6,6,68,8
2022-11-03 00:00:00+00:00,3,3,42,10
2022-11-04 00:00:00+00:00,2,2,63,5
2022-11-05 00:00:00+00:00,1,1,54,11
2022-11-06 00:00:00+00:00,10,5,72,9
2023-01-09 00:00:00+00:00,2,2,89,12
2023-01-10 00:00:00+00:00,3,3,93,13
2023-01-11 00:00:00+00:00,1,1,31,5
2023-01-12 00:00:00+00:00,2,2,133,10
2023-01-13 00:00:00+00:00,1,1,38,12
2023-01-14 00:00:00+00:00,1,1,53,11
2023-01-15 00:00:00+00:00,2,2,141,18
2023-01-16 00:00:00+00:00,1,1,87,6
2023-01-17 00:00:00+00:00,1,1,155,11
2023-01-18 00:00:00+00:00,4,4,45,8
2023-01-19 00:00:00+00:00,1,1,71,11
2023-01-20 00:00:00+00:00,2,2,76,10
2023-01-21 00:00:00+00:00,1,1,58,13
2023-01-22 00:00:00+00:00,4,3,136,19
2023-01-23 00:00:00+00:00,190,5,130,12
2023-01-24 00:00:00+00:00,6,4,49,10
2023-01-25 00:00:00+00:00,5,3,75,8
2023-01-26 00:00:00+00:00,4,2,77,12
2023-01-27 00:00:00+00:00,5,3,47,9
2023-01-28 00:00:00+00:00,9,5,105,12
2023-01-29 00:00:00+00:00,5,3,9,7
2023-01-30 00:00:00+00:00,6,4,39,14
2023-01-31 00:00:00+00:00,4,2,56,9
2023-02-01 00:00:00+00:00,5,3,23,6
2023-02-02 00:00:00+00:00,4,2,107,10
2023-02-03 00:00:00+00:00,2,2,55,9
2023-02-04 00:00:00+00:00,2,2,71,10
2023-02-05 00:00:00+00:00,4,3,71,11
2023-02-06 00:00:00+00:00,2,2,52,8
2023-02-07 00:00:00+00:00,4,3,35,6
2023-02-08 00:00:00+00:00,1,1,52,11
2023-02-09 00:00:00+00:00,24,6,87,10
2023-02-10 00:00:00+00:00,1,1,73,14
2023-02-11 00:00:00+00:00,11,7,39,11
2023-02-12 00:00:00+00:00,8,5,56,12
2023-02-13 00:00:00+00:00,4,4,138,13
2023-02-14 00:00:00+00:00,6,2,122,17
2023-02-15 00:00:00+00:00,2,2,73,10
2023-02-16 00:00:00+00:00,1,1,88,14
2023-02-17 00:00:00+00:00,1,1,65,13
2023-02-18 00:00:00+00:00,4,4,37,9
2023-02-19 00:00:00+00:00,1,1,64,11
2023-02-20 00:00:00+00:00,3,3,45,9
2023-02-21 00:00:00+00:00,2,2,86,17
2023-02-22 00:00:00+00:00,2,2,76,13
2023-02-23 00:00:00+00:00,2,2,63,10
2023-02-24 00:00:00+00:00,3,3,77,12
2023-02-25 00:00:00+00:00,1,1,86,13
2023-02-26 00:00:00+00:00,4,3,43,12
2023-02-27 00:00:00+00:00,3,3,57,11
2023-02-28 00:00:00+00:00,3,3,54,12
2023-03-01 00:00:00+00:00,2,2,87,10
2023-03-02 00:00:00+00:00,6,5,52,13
2023-03-03 00:00:00+00:00,1,1,87,14
2023-03-04 00:00:00+00:00,1,1,45,6
2023-03-05 00:00:00+00:00,3,3,73,16
2023-03-06 00:00:00+00:00,2,2,38,8
2023-03-07 00:00:00+00:00,2,2,87,13
2023-03-08 00:00:00+00:00,1,1,52,10
2023-03-09 00:00:00+00:00,2,2,37,8
2023-03-10 00:00:00+00:00,4,4,89,9
2023-03-11 00:00:00+00:00,2,2,51,11
2023-03-12 00:00:00+00:00,2,2,110,16
2023-03-13 00:00:00+00:00,4,4,57,15
2023-03-14 00:00:00+00:00,2,2,50,13
2023-03-15 00:00:00+00:00,2,2,178,18
2023-03-16 00:00:00+00:00,2,2,109,14
2023-03-17 00:00:00+00:00,1,1,144,18
2023-03-18 00:00:00+00:00,3,3,165,22
2023-03-19 00:00:00+00:00,1,1,102,17
2023-03-20 00:00:00+00:00,2,2,87,14
2023-03-21 00:00:00+00:00,3,3,125,17
2023-03-22 00:00:00+00:00,9,6,126,18
2023-03-23 00:00:00+00:00,1,1,175,19
2023-03-24 00:00:00+00:00,3,3,54,8
2023-03-25 00:00:00+00:00,1,1,80,15
2023-03-26 00:00:00+00:00,3,3,170,14
2023-03-27 00:00:00+00:00,3,3,30,8
2023-03-28 00:00:00+00:00,2,2,16,7
2023-03-29 00:00:00+00:00,5,5,98,17
2023-03-30 00:00:00+00:00,2,2,50,17
2023-03-31 00:00:00+00:00,2,2,35,10
2023-04-01 00:00:00+00:00,1,1,95,9
2023-04-02 00:00:00+00:00,3,2,32,8
2023-04-03 00:00:00+00:00,2,2,76,12
2023-04-04 00:00:00+00:00,6,3,63,7
2023-04-05 00:00:00+00:00,4,4,86,17
2023-04-06 00:00:00+00:00,3,3,95,21
2023-04-07 00:00:00+00:00,2,2,107,16
2023-04-08 00:00:00+00:00,2,2,112,18
2023-04-09 00:00:00+00:00,2,2,134,17
2023-04-10 00:00:00+00:00,2,2,101,16
2023-04-11 00:00:00+00:00,4,4,170,22
2023-04-12 00:00:00+00:00,3,3,54,9
2023-04-13 00:00:00+00:00,2,2,109,14
2023-04-14 00:00:00+00:00,3,3,52,13
